,Name,z_burns2018_bvriC,z_burns2018_griC,EBV,EBV_err,dm15,dm15_err,MV,MV_err,bv_source_w09,Type,foundation,csp,w09,vel,vel_err,vel_source,bv_source,z,z_err,z_wang09,c_sncosmo,c_err_sncosmo,chisq,mwebv_sncosmo,mwebv_err,success,t0,t0_err,x0_sncosmo,x0_err_sncosmo,x1_sncosmo,x1_err_sncosmo,z_cosana,Name_sncosmo,Survey_sncosmo,bands,bands2,Name_upper,Name_snana,zHEL,zCMB,zHD,mwebv_snana,SNRMAX1,SNRMAX2,PKMJD,PKMJDERR,x1_snana,x1_err_snana,c_snana,c_err_snana,mB,mBERR,x0_snana,x0_err_snana,FITCHI2,x0_offset,Survey_snana,first_fitmjd
114,2007cg,0.03317,0.03317,0.738,0.044,0.811,0.079,,0.056,,,FALSE,TRUE,FALSE,-11.65213,0.29613,local,b18,0.03317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2007hj,0.0141,0.0141,0.12,0.023,1.615,0.061,,0.005,,,FALSE,TRUE,FALSE,-12.297,0.224162887,csp,b18,0.0141,,,0.116493004,0.023368899,263.5300038,0.075765055,0,1,54348.92371,0.094052708,0.010448493,0.000217755,-2.04730937,0.035457287,0.0141,2007hj,CSP,BVgr                ,BVgir               ,SN2007HJ,SN2007HJ,0.0141,0.0141,0.0141,0.0757629,271.43466,271.43399,54348.816,0.098,-2.06043,0.0358623,0.12077,0.0230406,15.32861,0.0270795,0.0132604,0.000330728,293.71725,0.010340859,CSP,54348.262
116,2007jh,0.04077,0.04077,0.219,0.031,1.811,0.062,,0.019,,,FALSE,TRUE,FALSE,-10.67921707,0.319091178,local,b18,0.04077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,2007n,0.01287,0.01287,0.436,0.037,1.888,0.06,,0.013,,,FALSE,TRUE,FALSE,-10.41149,0.22194,local,b18,0.01287,,,0.852377188,0.037258485,150.5788677,0.034666428,0,1,54121.0169,0.36480152,0.001222093,6.49E-05,-3.041980026,0.11019123,0.01287,2007n,CfA3,BVr                 ,BVir                ,SN2007N,SN2007N,0.01287,0.01287,0.01287,0.0346663,77.55271,63.86673,54120.355,0.077,-2.96045,0.10995,0.84352,0.0405046,17.60807,0.0473625,0.0016247,7.09E-05,133.66539,0.00126699,CfA3,54126.43
118,2007s,0.01387,0.01387,0.475,0.017,0.796,0.061,,0.008,,,FALSE,TRUE,FALSE,-10.64598,0.221226191,local,b18,0.01387,,,0.372275329,0.022682994,42.84677596,0.023917367,0,1,54144.70366,0.05078234,0.008569231,0.000180064,1.079253139,0.048765855,0.01387,2007s,CSP,BVgr                ,BVgir               ,SN2007S,SN2007S,0.01387,0.01387,0.01387,0.0239173,180.95628,180.95619,54144.695,0.051,1.0926,0.048691,0.37707,0.0225703,15.54687,0.023243,0.0108456,0.000232178,49.33268,0.008457725,CSP,54133.34
119,2007ux,0.03089,0.03089,0.095,0.019,1.634,0.061,,0.006,,,FALSE,TRUE,FALSE,-10.743,0.386683333,csp,b18,0.03089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2009dc,,,,,,,,,,,FALSE,TRUE,FALSE,-7.562346975,1.219452821,local,,0.0214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,2009f,0.01295,0.01295,0.101,0.035,1.882,0.06,,0.013,,,FALSE,TRUE,FALSE,-13.97923,0.22132,local,b18,0.01295,,,0.384954126,0.023567157,1090.51823,0.089425018,0,1,54842.18737,0.060836069,0.003060235,6.47E-05,-2.551603789,0.060237643,0.01295,2009f,CSP,BVgr                ,BVgir               ,SN2009F,SN2009F,0.01295,0.01295,0.01295,0.089425,217.14703,180.95737,54842.203,0.063,-2.59381,0.0574411,0.41486,0.0204787,16.6882,0.0252433,0.00379069,8.81E-05,990.8205,0.002956094,CSP,54837.25
125,1981b,0.00603,0.00603,0.147,0.023,1.14,0.062,-18.96,0.007,TRUE,HV,FALSE,FALSE,TRUE,-99.9,,w09,b18,0.003932721,,0.003932721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1990n,0.003,0.003,0.128,0.016,0.961,0.061,-19.09,0.007,TRUE,N,FALSE,FALSE,TRUE,99.9,,w09,b18,0.003932721,,0.003932721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
