        1798  0.043641       3.82001e-06      9.25333e-06   0.1            1.108    nan            nan                   1
        1800  0.0430825      3.77112e-06      9.1349e-06    0.1            1.108    nan            nan                   1
        1802  0.0382348      3.34679e-06      8.10702e-06   0.1            1.108    nan            nan                   1
        1804  0.0334998      2.93232e-06      7.10304e-06   0.1            1.108    nan            nan                   1
        1806  0.0457582      4.00533e-06      9.70224e-06   0.1            1.108    nan            nan                   1
        1808  0.0534834      4.68154e-06      1.13402e-05   0.1            1.108    nan            nan                   1
        1810  0.0581414      5.08926e-06      1.23279e-05   0.1            1.108    nan            nan                   1
        1812  0.0564306      4.93951e-06      1.19651e-05   0.1            1.108    nan            nan                   1
        1814  0.0480181      4.20315e-06      1.01814e-05   0.1            1.108    nan            nan                   1
        1816  0.0457349      4.0033e-06       9.6973e-06    0.1            1.108    nan            nan                   1
        1818  0.040564       3.55067e-06      8.60088e-06   0.1            1.108    nan            nan                   1
        1820  0.0512759      4.48831e-06      1.08722e-05   0.1            1.108    nan            nan                   1
        1822  0.0563909      4.93604e-06      1.19567e-05   0.1            1.108    nan            nan                   1
        1824  0.0654262      5.72692e-06      1.38725e-05   0.1            1.108    nan            nan                   1
        1826  0.0597037      5.22602e-06      1.26591e-05   0.1            1.108    nan            nan                   1
        1828  0.0458681      4.01495e-06      9.72553e-06   0.1            1.108    nan            nan                   1
        1830  0.0508172      4.44816e-06      1.07749e-05   0.1            1.108    nan            nan                   1
        1832  0.0575204      5.03491e-06      1.21962e-05   0.1            1.108    nan            nan                   1
        1834  0.0638083      5.5853e-06       1.35294e-05   0.1            1.108    nan            nan                   1
        1836  0.0627007      5.48835e-06      1.32946e-05   0.1            1.108    nan            nan                   1
        1838  0.0537363      4.70368e-06      1.13939e-05   0.1            1.108    nan            nan                   1
        1840  0.0565084      4.94632e-06      1.19816e-05   0.1            1.108    nan            nan                   1
        1842  0.0546719      4.78557e-06      1.15922e-05   0.1            1.108    nan            nan                   1
        1844  0.0613591      5.37092e-06      1.30101e-05   0.1            1.108    nan            nan                   1
        1846  0.064662       5.66003e-06      1.37105e-05   0.1            1.108    nan            nan                   1
        1848  0.0609399      5.33422e-06      1.29212e-05   0.1            1.108    nan            nan                   1
        1850  0.0559632      4.8986e-06       1.1866e-05    0.1            1.108    nan            nan                   1
        1852  0.0577497      5.05498e-06      1.22448e-05   0.1            1.108    nan            nan                   1
        1854  0.0610321      5.3423e-06       1.29408e-05   0.1            1.108    nan            nan                   1
        1856  0.0539591      4.72318e-06      1.14411e-05   0.1            1.108    nan            nan                   1
