,Name,Filter,mwebv_corr,ra,dec,mwebv
15,2005iq,CSP-V0,0.05988805137825004,23:58:32.501,-18:42:33.01,0.01900652434471278
15,2005iq,CSP-Y,0.02110499568570745,23:58:32.501,-18:42:33.01,0.01900652434471278
15,2005iq,CSP-J,0.015346456957001209,23:58:32.501,-18:42:33.01,0.01900652434471278
15,2005iq,CSP-H,0.009958409147523994,23:58:32.501,-18:42:33.01,0.01900652434471278
15,2005iq,CSP-Jdw,0.015510647351076656,23:58:32.501,-18:42:33.01,0.01900652434471278
15,2005iq,CSP-Hdw,0.009972923666632383,23:58:32.501,-18:42:33.01,0.01900652434471278
16,2005ir,CSP-u,0.12495660474381853,01:16:43.759,+00:47:40.42,0.02629308184015735
16,2005ir,CSP-g,0.09854822400988716,01:16:43.759,+00:47:40.42,0.02629308184015735
16,2005ir,CSP-r,0.06825119447384242,01:16:43.759,+00:47:40.42,0.02629308184015735
16,2005ir,CSP-i,0.04961702589258854,01:16:43.759,+00:47:40.42,0.02629308184015735
16,2005ir,CSP-B,0.10712122692349269,01:16:43.759,+00:47:40.42,0.02629308184015735
16,2005ir,CSP-V0,0.08284125463351089,01:16:43.759,+00:47:40.42,0.02629308184015735
17,2005kc,CSP-u,0.5398299322074225,22:34:07.339,+05:34:06.31,0.11361488196147342
17,2005kc,CSP-g,0.4250538654235112,22:34:07.339,+05:34:06.31,0.11361488196147342
17,2005kc,CSP-r,0.2946658149761232,22:34:07.339,+05:34:06.31,0.11361488196147342
17,2005kc,CSP-i,0.2142758337246895,22:34:07.339,+05:34:06.31,0.11361488196147342
17,2005kc,CSP-B,0.46245984586994027,22:34:07.339,+05:34:06.31,0.11361488196147342
17,2005kc,CSP-V0,0.357645635185996,22:34:07.339,+05:34:06.31,0.11361488196147342
17,2005kc,CSP-Y,0.1261277857458012,22:34:07.339,+05:34:06.31,0.11361488196147342
17,2005kc,CSP-J,0.09171610351260284,22:34:07.339,+05:34:06.31,0.11361488196147342
17,2005kc,CSP-H,0.05951932710518193,22:34:07.339,+05:34:06.31,0.11361488196147342
18,2005ki,CSP-u,0.1306271577180167,10:40:28.219,+09:12:08.39,0.02748634973578334
18,2005ki,CSP-g,0.10301808637497745,10:40:28.219,+09:12:08.39,0.02748634973578334
18,2005ki,CSP-r,0.07134782160896203,10:40:28.219,+09:12:08.39,0.02748634973578334
18,2005ki,CSP-i,0.05186840241520807,10:40:28.219,+09:12:08.39,0.02748634973578334
18,2005ki,CSP-B,0.11198135915618757,10:40:28.219,+09:12:08.39,0.02748634973578334
18,2005ki,CSP-V0,0.08659981262518812,10:40:28.219,+09:12:08.39,0.02748634973578334
18,2005ki,CSP-Y,0.030520387163388563,10:40:28.219,+09:12:08.39,0.02748634973578334
18,2005ki,CSP-J,0.02219289542796865,10:40:28.219,+09:12:08.39,0.02748634973578334
18,2005ki,CSP-H,0.01440119555214281,10:40:28.219,+09:12:08.39,0.02748634973578334
18,2005ki,CSP-Ydw,0.03003526798021916,10:40:28.219,+09:12:08.39,0.02748634973578334
18,2005ki,CSP-Jdw,0.022430289092755018,10:40:28.219,+09:12:08.39,0.02748634973578334
18,2005ki,CSP-Hdw,0.014422183132149158,10:40:28.219,+09:12:08.39,0.02748634973578334
19,2005ku,CSP-u,0.21979282947014522,22:59:42.610,-00:00:49.28,0.04625064188436055
19,2005ku,CSP-g,0.17327772536386,22:59:42.610,-00:00:49.28,0.04625064188436055
19,2005ku,CSP-r,0.12003309393759842,22:59:42.610,-00:00:49.28,0.04625064188436055
19,2005ku,CSP-i,0.08726690926323855,22:59:42.610,-00:00:49.28,0.04625064188436055
19,2005ku,CSP-B,0.18839170094029356,22:59:42.610,-00:00:49.28,0.04625064188436055
19,2005ku,CSP-V0,0.1456915760551727,22:59:42.610,-00:00:49.28,0.04625064188436055
19,2005ku,CSP-Y,0.051353436481713644,22:59:42.610,-00:00:49.28,0.04625064188436055
20,2005m,CSP-u,0.12749937655575505,09:37:32.359,+23:12:02.70,0.02682816244375857
20,2005m,CSP-g,0.1005526102765204,09:37:32.359,+23:12:02.70,0.02682816244375857
20,2005m,CSP-r,0.06963978113207459,09:37:32.359,+23:12:02.70,0.02682816244375857
20,2005m,CSP-i,0.050626583901470124,09:37:32.359,+23:12:02.70,0.02682816244375857
20,2005m,CSP-B,0.10930060364946215,09:37:32.359,+23:12:02.70,0.02682816244375857
20,2005m,CSP-V0,0.08452666409155185,09:37:32.359,+23:12:02.70,0.02682816244375857
20,2005m,CSP-Ydw,0.02931608804852459,09:37:32.359,+23:12:02.70,0.02682816244375857
20,2005m,CSP-Jdw,0.021893210911441585,09:37:32.359,+23:12:02.70,0.02682816244375857
20,2005m,CSP-Hdw,0.014076844694654866,09:37:32.359,+23:12:02.70,0.02682816244375857
21,2005mc,CSP-u,0.17828699950833982,08:27:06.360,+21:38:45.60,0.0375158083203568
21,2005mc,CSP-g,0.14057856268844726,08:27:06.360,+21:38:45.60,0.0375158083203568
21,2005mc,CSP-r,0.0973721988784706,08:27:06.360,+21:38:45.60,0.0375158083203568
21,2005mc,CSP-i,0.07078989444006023,08:27:06.360,+21:38:45.60,0.0375158083203568
21,2005mc,CSP-B,0.1528261741033745,08:27:06.360,+21:38:45.60,0.0375158083203568
21,2005mc,CSP-V0,0.1181870036780257,08:27:06.360,+21:38:45.60,0.0375158083203568
22,2005na,CSP-u,0.317500489848205,07:01:36.619,+14:07:59.70,0.06681458271368279
